gene_id	MM1S_coculture_vs_MM1S_monoculture	HUVEC_MM1S_vs_MM1S_monoculture	HUVEC_MM1S_vs_MM1S_coculture	gene_name
ENSG00000111863	False	True	False	ADTRP
ENSG00000112902	False	True	False	SEMA5A
ENSG00000125740	True	False	True	FOSB
ENSG00000127533	False	True	True	F2RL3
ENSG00000167555	True	True	False	ZNF528
ENSG00000168675	False	True	True	LDLRAD4
ENSG00000170345	True	False	True	FOS
ENSG00000184557	False	False	True	SOCS3
ENSG00000187908	True	True	False	DMBT1
ENSG00000228253	True	True	False	MT-ATP8
ENSG00000237440	True	True	False	ZNF737
ENSG00000250312	True	True	False	ZNF718
ENSG00000281181	True	True	False	FP236383.3
