Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,G2-M Checkpoint,0.42919615772499337,3.020057472809918,1.000000e-03,1.000000e-03,1.000000e-03,107/192,19.31%,CENPE;HMMR;PTTG1;KIF20B;TTK;PBK;TOP1;TOP2A;NUSAP1;MARCKS;CBX1;NEK2;AURKA;SMC4;MEIS1;SMC2;BUB1;KIF11;CKS1B;POLQ;KIF4A;CKS2;KIF15;CENPA;AMD1;STMN1;RASAL2;CDK1;TPX2;PDS5B;CENPF;YTHDC1;NDC80;PLK4;HMGB3;RAD23B;SQLE;CDC27;MAD2L1;CCNB2;SRSF1;KMT5A;HMGN2;CUL3;RACGAP1;HSPA8;SS18;CTCF;KIF5B;ARID4A;KIF2C;PURA;HNRNPU;SLC38A1;SMC1A;MTF2;SNRPD1;CCNT1;JPT1;EXO1;KNL1;KPNB1;CDKN1B;NUP50;LBR;KATNA1;KIF23;XPO1;HUS1;PRPF4B;STAG1;DBF4;BIRC5;MAP3K20;HNRNPD;NASP;DR1;PAFAH1B1;G3BP1;KPNA2;CASP8AP2;MKI67;CCNA2;RAD21;CDKN3;SYNCRIP;SMARCC1;STIL;EZH2;FOXN3;CUL5;TMPO;BARD1;ORC5;NCL;CDC25A;HIF1A;CHEK1;SLC12A2;PRIM2;LMNB1;RBL1;MNAT1;E2F3;ODF2;BRCA2;ATRX
prerank,E2F Targets,0.3888482826696293,2.7418422218956238,1.000000e-03,1.000000e-03,1.000000e-03,120/196,27.92%,CENPE;ANP32E;DLGAP5;SPC25;HMMR;PTTG1;DEPDC1;DIAPH3;TOP2A;PSIP1;AURKA;SMC4;ASF1A;CBX5;CKS1B;KIF4A;CKS2;PNN;MELK;SMC3;STMN1;CDK1;PDS5B;SMC6;PLK4;HMGB3;DEK;BUB1B;RAD51C;MAD2L1;RPA3;HELLS;CCNB2;NAP1L1;HMGB2;EIF2S1;SRSF1;CCP110;RACGAP1;E2F8;CTCF;KIF2C;BRCA1;SPAG5;CHEK2;UBE2T;SMC1A;JPT1;ORC2;CDCA8;IPO7;CDKN1B;LBR;NUP107;XPO1;BRMS1L;RFC1;HUS1;MMS22L;GINS1;STAG1;BIRC5;HNRNPD;NASP;KPNA2;MKI67;RAD21;EXOSC8;CDKN3;SYNCRIP;ATAD2;NUDT21;EZH2;AK2;ZW10;TMPO;BARD1;PRPS1;PMS2;RAD1;RAD51AP1;CIT;CDC25A;PHF5A;CHEK1;LYAR;PRIM2;LMNB1;XRCC6;USP1;NCAPD2;CSE1L;MRE11;POLD3;RBBP7;BRCA2;CNOT9;DSCC1;MSH2;WEE1;RRM2;PPP1R8;GINS4;SPC24;EED;ING3;GSPT1;RFC3;NUP205;TFRC;RANBP1;PSMC3IP;DCK;DONSON;CDCA3;NBN;TIPIN;PPM1D;RPA2;NUP153
prerank,Protein Secretion,0.41179870143403874,2.47826790333452,1.000000e-03,1.000000e-03,1.000000e-03,55/91,28.19%,ANP32E;ATP7A;ARFIP1;LAMP2;CLCN3;USO1;COPB2;TMED2;VPS4B;M6PR;CLTC;STX16;VPS45;ARCN1;RAB2A;RAB22A;SNAP23;DOP1A;AP1G1;DNM1L;AP3B1;TMX1;AP2B1;CTSC;SEC22B;RAB9A;GOLGA4;TMED10;VAMP4;ZW10;LMAN1;SOD1;STX7;ADAM10;RPS6KA3;YIPF6;NAPG;CD63;RAB5A;BET1;TPD52;SNX2;SCAMP1;GLA;COPB1;AP3S1;RAB14;SEC24D;VAMP7;MON2;ARFGEF1;CAV2;SEC31A;ARFGEF2;STAM
prerank,Myc Targets V2,-0.42321461181227893,-2.2402025376581083,1.000000e-03,1.000000e-03,1.000000e-03,37/57,28.25%,DUSP2;MAP3K6;SRM;SLC19A1;PPAN;MYC;MYBBP1A;RRP12;EXOSC5;DCTPP1;MCM5;GRWD1;RRP9;NOP16;PPRC1;UNG;MRTO4;WDR74;PUS1;NOC4L;NOP56;MCM4;IMP4;FARSA;BYSL;TBRG4;PES1;RABEPK;TCOF1;AIMP2;SORD;HK2;NOLC1;LAS1L;RCL1;CDK4;IPO4
prerank,mTORC1 Signaling,0.3091822579707499,2.198230555297872,1.000000e-03,1.000000e-03,1.000000e-03,90/192,23.11%,FGL2;BTG2;IDH1;ACTR2;ATP6V1D;HMGCS1;STARD4;IDI1;SC5D;AURKA;PSMA4;PSPH;PIK3R3;CYP51A1;DAPP1;SYTL2;DDIT4;BUB1;UCHL5;ADD3;ELOVL6;RAB1A;HMGCR;PRDX1;TBK1;NAMPT;EIF2S2;CACYBP;CCT6A;SQLE;HSPD1;INSIG1;HSPA4;CCNG1;USO1;HSP90B1;PSMC2;SKAP2;EDEM1;PSMD12;ELOVL5;GSK3B;TCEA1;M6PR;PSMA3;RDH11;CANX;SCD;CYB5B;PSMD14;ACTR3;POLR3G;ETF1;HSPA9;STIP1;PSMC6;ACSL3;GLRX;CTSC;IFRD1;SSR1;UFM1;COPS5;UBE2D3;ADIPOR2;GMPS;PGK1;SLC7A11;CDC25A;CALR;HPRT1;TES;PITPNB;LTA4H;FADS1;PPA1;PSAT1;TXNRD1;GLA;RRM2;DHFR;BCAT1;RIT1;SERP1;VLDLR;XBP1;GCLC;PDAP1;NUP205;SLC2A3
prerank,Spermatogenesis,0.38766397646846784,2.180252703979888,1.000000e-03,1.000000e-03,1.000000e-03,37/71,23.78%,TTK;NEK2;AURKA;HSPA4L;BUB1;CDK1;CCNB2;VDAC3;KIF2C;ZC3H14;SIRT1;CLGN;CSNK2A2;RFC4;STRBP;DBF4;GMCL1;CDKN3;RPL39L;LPIN1;EZH2;BRAF;COIL;PRKAR2A;TOPBP1;SLC12A2;RAD17;STAM2;AGFG1;IFT88;TSN;PIAS2;ZC2HC1C;PARP2;IDE;MAP7;NCAPH
prerank,Myogenesis,-0.3424027527844995,-2.169785188069124,1.000000e-03,1.000000e-03,1.000000e-03,61/115,31.75%,GAA;MYLK;DMPK;PC;LSP1;MAPK12;ITGB4;CFD;TGFB1;TSC2;CRAT;ENO3;BIN1;AGRN;ITGB5;NOTCH1;KCNH2;VIPR1;TEAD4;PLXNB2;MYO1C;SYNGR2;SH2B1;AKT2;FHL1;OCEL1;ATP6AP1;HDAC5;SLC6A8;LARGE1;SIRT2;IGFBP7;MYH9;ITGA7;PSEN2;FOXO4;KIFC3;ATP2A1;BAG1;MYH3;SPTAN1;PICK1;ADCY9;MYL6B;MAPRE3;SORBS3;NCAM1;FLII;AEBP1;CHRNB1;SMTN;PDLIM7;GSN;DTNA;SVIL;PTP4A3;ABLIM1;MYH2;PPFIA4;MYH8;TAGLN
prerank,Androgen Response,0.351390435091097,2.131531083454647,1.000000e-03,1.000000e-03,1.000000e-03,55/92,33.15%,HMGCS1;IDI1;ELK4;HMGCR;MAF;INPP4B;LIFR;B2M;INSIG1;TMEM50A;SMS;ELOVL5;APPBP2;SCD;SRP19;IQGAP2;ACSL3;GUCY1A1;NGLY1;SLC26A2;DBI;SLC38A2;LMAN1;RPS6KA3;MYL12A;CENPN;GNAI3;FKBP5;XRCC6;FADS1;TPD52;PDLIM5;HERC3;XRCC5;SPCS3;STK39;SAT1;SEC24D;NCOA4;MAP7;ITGAV;TNFAIP8;GPD1L;CDK6;VAPA;RAB4A;MERTK;TSC22D1;PGM3;ALDH1A3;ZBTB10;PIAS1;DNAJB9;ARID5B;GSR
prerank,TNF-alpha Signaling via NF-kB,-0.32146138885967435,-2.13030371154627,1.000000e-03,1.000000e-03,1.000000e-03,68/157,23.14%,FOS;FOSB;KLF2;DUSP1;DUSP2;LAMB3;EGR1;KLF4;JUN;TRIB1;ZC3H12A;MYC;FJX1;CEBPB;NFKBIA;RELB;BCL3;CD44;KDM6B;DENND5A;PER1;IRS2;EHD1;ETS2;ATF3;FOSL2;NFKB2;IER2;NINJ1;IRF1;TNIP1;STAT5A;CFLAR;YRDC;SLC2A6;CCNL1;CCL4;DUSP5;PPP1R15A;KLF10;TAP1;TNFAIP3;EIF1;RNF19B;IL15RA;KLF6;TNIP2;CSF2;VEGFA;SQSTM1;IL23A;RHOB;NFIL3;CCL5;CCND1;B4GALT1;IFNGR2;PTGER4;SPSB1;NR4A2;MCL1;RELA;MAP2K3;PLEK;NFKBIE;TRAF1;JUNB;SIK1
prerank,Myc Targets V1,0.2963781611331484,2.091343905097965,1.000000e-03,1.000000e-03,3.000000e-03,90/196,22.76%,SSB;HNRNPA3;SNRPB2;PSMA4;EIF4E;HNRNPR;HNRNPA2B1;CBX3;TARDBP;EIF2S2;VBP1;SNRPG;CCT5;DEK;SET;RAD23B;RSL1D1;PSMA6;MAD2L1;HSPD1;SRPK1;NAP1L1;ERH;EIF2S1;SRSF1;TCP1;HNRNPC;HNRNPA1;VDAC3;PSMD7;EIF3J;NCBP2;HNRNPU;HSP90AB1;SNRPD1;CCT4;KPNB1;ORC2;CANX;PSMD14;SSBP1;SNRPA1;YWHAE;HDGF;XPO1;RFC4;DDX18;HNRNPD;ETF1;PSMC6;NPM1;G3BP1;KPNA2;IFRD1;CCNA2;PHB;SYNCRIP;SMARCC1;SRSF3;COPS5;PTGES3;SERBP1;PSMD1;PGK1;XPOT;CCT2;GLO1;HPRT1;TOMM70;RRM1;UBE2E1;XRCC6;UBE2L3;USP1;HDAC2;NHP2;DDX21;EIF1AX;NCBP1;ABCE1;DHX15;RPL14;POLE3;SNRPD3;AP3S1;UBA2;STARD7;YWHAQ;GSPT1;PRDX3
prerank,Mitotic Spindle,0.2987196980453846,2.0825211468041016,1.000000e-03,1.000000e-03,3.000000e-03,89/189,22.52%,CENPE;FGD4;DLGAP5;KIF20B;TTK;TOP2A;CDC42BPA;NUSAP1;MARCKS;NEK2;AURKA;SMC4;BUB1;ARHGEF3;ROCK1;KIF11;SASS6;ANLN;TLK1;KIF4A;ECT2;CEP57;EPB41L2;PPP4R2;KIF15;SMC3;RASAL2;CDK1;TPX2;CENPF;NDC80;CDC27;RASA1;PALLD;CCNB2;ITSN1;CD2AP;ARHGAP5;CNTRL;RACGAP1;AKAP13;STK38L;KIF3B;CKAP5;KIF5B;KIF2C;ARHGEF12;RAPGEF6;SSH2;DYNLL2;CENPJ;SMC1A;ABI1;CCDC88A;CEP192;TUBD1;NIN;DOCK4;KATNA1;YWHAE;RASA2;KIF23;CLIP1;RFC1;APC;BIRC5;PAFAH1B1;CDK5RAP2;EPB41;RAB3GAP1;DLG1;MAPRE1;WASF1;MID1;LMNB1;RABGAP1;RANBP9;PDLIM5;PIF1;KIFAP3;BRCA2;PCGF5;LATS1;ALS2;SOS1;STAU1;HOOK3;NF1;ARF6
prerank,p53 Pathway,-0.3012353082491094,-2.013540225885453,1.000000e-03,2.377367e-03,8.000000e-03,78/169,24.69%,FOS;TXNIP;PIDD1;KLF4;JUN;TRAF4;ITGB4;LDHB;TGFB1;RGS16;COQ8A;RPL18;STEAP3;RXRA;RPL36;IRAK1;NOTCH1;RHBDF2;WRAP73;PLXNB2;RPS12;RAB40C;JAG2;ST14;ABCC5;DCXR;RALGDS;UPP1;SLC3A2;PLK3;ATF3;CTSD;HRAS;DEF6;TP53;SEC61A1;NINJ1;AEN;TRIB3;RACK1;VDR;STOM;ABAT;HDAC3;PPP1R15A;TAP1;RAD9A;RNF19B;MXD4;SFN;PMM1;RETSAT;CCND3;ZFP36L1;SOCS1;ADA;DDB2;EPHX1;NDRG1;MAPKAPK3;MKNK2;BLCAP;HMOX1;PVT1;PERP;POM121;BAX;EPS8L2;ACVR1B;FDXR;SDC1;CYFIP2;TCN2;DGKA;FOXO3;PCNA;HINT1;PRKAB1
